name,province_id
SAN ISIDRO,57
BANSALAN,58
DAVAO CITY,59
CITY OF DIGOS (Capital),58
HAGONOY,58
KIBLAWAN,58
MAGSAYSAY,58
MALALAG,58
MATANAO,58
PADADA,58
SANTA CRUZ,58
SULOP,58
BAGANGA,60
BANAYBANAY,60
BOSTON,60
CARAGA,60
CATEEL,60
GOVERNOR GENEROSO,60
LUPON,60
MANAY,60
CITY OF MATI (Capital),60
SAN ISIDRO,60
TARRAGONA,60
COMPOSTELA,61
LAAK (SAN VICENTE),61
MABINI (DONA ALICIA),61
MACO,61
MARAGUSAN (SAN MARIANO),61
MAWAB,61
MONKAYO,61
MONTEVISTA,61
NABUNTURAN (Capital),61
NEW BATAAN,61
PANTUKAN,61
DON MARCELINO,62
JOSE ABAD SANTOS (TRINIDAD),62
MALITA,62
SANTA MARIA,62
SARANGANI,62
ALAMADA,63
CARMEN,63
KABACAN,63
CITY OF KIDAPAWAN (Capital),63
LIBUNGAN,63
MAGPET,63
MAKILALA,63
MATALAM,63
MIDSAYAP,63
M'LANG,63
PIGKAWAYAN,63
PIKIT,63
PRESIDENT ROXAS,63
TULUNAN,63
ANTIPAS,63
BANISILAN,63
ALEOSAN,63
ARAKAN,63
BANGA,64
GENERAL SANTOS CITY (DADIANGAS),65
CITY OF KORONADAL (Capital),64
NORALA,64
POLOMOLOK,64
SURALLAH,64
TAMPAKAN,64
TANTANGAN,64
T'BOLI,64
TUPI,64
SANTO NINO,64
LAKE SEBU,64
BAGUMBAYAN,66
COLUMBIO,66
ESPERANZA,66
ISULAN (Capital),66
KALAMANSIG,66
LEBAK,66
LUTAYAN,66
LAMBAYONG (MARIANO MARCOS),66
PALIMBANG,66
PRESIDENT QUIRINO,66
CITY OF TACURONG,66
SEN. NINOY AQUINO,66
ALABEL (Capital),67
GLAN,67
KIAMBA,67
MAASIM,67
MAITUM,67
MALAPATAN,67
MALUNGON,67
COTABATO CITY,68
TONDO I / II,69
BINONDO,69
QUIAPO,69
SAN NICOLAS,69
SANTA CRUZ,69
SAMPALOC,69
SAN MIGUEL,69
ERMITA,69
INTRAMUROS,69
MALATE,69
PACO,69
PANDACAN,69
PORT AREA,69
SANTA ANA,69
CITY OF MANDALUYONG,70
CITY OF MARIKINA,70
CITY OF PASIG,70
QUEZON CITY,70
